time,step,loss,examples/sec,sec/batch
2016-11-29 03:00:57.734367,3110,1.18,682.9,0.187
2016-11-29 03:00:59.578535,3120,1.17,673.6,0.190
2016-11-29 03:01:01.425700,3130,1.27,641.2,0.200
2016-11-29 03:01:03.249859,3140,1.39,713.3,0.179
2016-11-29 03:01:05.072959,3150,1.26,692.1,0.185
2016-11-29 03:01:06.882050,3160,1.20,802.1,0.160
2016-11-29 03:01:08.722552,3170,1.28,694.4,0.184
2016-11-29 03:01:10.547446,3180,1.28,719.4,0.178
2016-11-29 03:01:12.369502,3190,1.35,683.3,0.187
2016-11-29 03:01:14.180102,3200,1.23,696.8,0.184
2016-11-29 03:01:16.200448,3210,1.25,767.1,0.167
2016-11-29 03:01:18.004308,3220,1.39,763.0,0.168
2016-11-29 03:01:19.814728,3230,1.26,710.5,0.180
2016-11-29 03:01:21.658535,3240,1.21,650.4,0.197
2016-11-29 03:01:23.463039,3250,1.21,697.2,0.184
2016-11-29 03:01:25.287262,3260,1.00,716.9,0.179
2016-11-29 03:01:27.126948,3270,1.29,626.4,0.204
2016-11-29 03:01:28.935155,3280,1.27,707.8,0.181
2016-11-29 03:01:30.777721,3290,1.39,627.9,0.204
2016-11-29 03:01:32.589664,3300,1.12,634.7,0.202
2016-11-29 03:01:34.581725,3310,1.18,682.6,0.188
2016-11-29 03:01:36.412263,3320,1.16,683.7,0.187
2016-11-29 03:01:38.247250,3330,1.17,694.1,0.184
2016-11-29 03:01:40.065257,3340,1.08,692.1,0.185
2016-11-29 03:01:41.894928,3350,1.23,701.8,0.182
2016-11-29 03:01:43.720187,3360,1.15,680.0,0.188
2016-11-29 03:01:45.532518,3370,1.12,687.5,0.186
2016-11-29 03:01:47.349919,3380,1.09,695.1,0.184
2016-11-29 03:01:49.155453,3390,1.15,714.3,0.179
2016-11-29 03:01:50.985925,3400,1.20,697.8,0.183
2016-11-29 03:01:52.982973,3410,1.27,714.6,0.179
2016-11-29 03:01:54.811001,3420,1.25,691.6,0.185
2016-11-29 03:01:56.639857,3430,1.13,714.3,0.179
2016-11-29 03:01:58.456340,3440,1.07,692.5,0.185
2016-11-29 03:02:00.286120,3450,1.20,696.4,0.184
2016-11-29 03:02:02.134761,3460,1.18,692.5,0.185
2016-11-29 03:02:03.952947,3470,1.18,714.0,0.179
2016-11-29 03:02:05.768028,3480,1.22,710.7,0.180
2016-11-29 03:02:07.578988,3490,1.19,718.6,0.178
2016-11-29 03:02:09.442045,3500,1.06,689.3,0.186
2016-11-29 03:02:11.433503,3510,1.15,712.5,0.180
2016-11-29 03:02:13.268311,3520,1.33,647.4,0.198
2016-11-29 03:02:15.086847,3530,1.32,707.1,0.181
2016-11-29 03:02:16.911129,3540,1.12,676.4,0.189
2016-11-29 03:02:18.731777,3550,1.12,710.1,0.180
2016-11-29 03:02:20.543390,3560,1.14,709.6,0.180
2016-11-29 03:02:22.353392,3570,1.29,691.7,0.185
2016-11-29 03:02:24.164328,3580,1.31,726.8,0.176
2016-11-29 03:02:25.973782,3590,1.13,700.3,0.183
2016-11-29 03:02:27.792308,3600,1.19,708.9,0.181
2016-11-29 03:02:29.810046,3610,1.14,687.6,0.186
2016-11-29 03:02:31.624357,3620,1.07,692.7,0.185
2016-11-29 03:02:33.443901,3630,1.10,727.7,0.176
2016-11-29 03:02:35.266891,3640,1.13,718.0,0.178
2016-11-29 03:02:37.066485,3650,1.05,700.7,0.183
2016-11-29 03:02:38.895595,3660,1.20,709.4,0.180
2016-11-29 03:02:40.718575,3670,1.14,728.1,0.176
